"EN","SI"
"be","biti"
"have","imeti"
"do","naredi"
"would","bi"
"will","volja"
"can","lahko"
"know","vem"
"see","glej"
"may","maja"
"should","bi morali"
"get","dobili"
"think","pomisli"
"go","pojdi"
"make","naredite"
"must","mora"
"take","vzemite"
"come","pridi"
"say","recimo"
"put","dal"
"want","želim"
"give","dajte"
"look","poglej"
"find","najti"
"need","potrebujejo"
"like","všeč"
"set","nastavite"
"use","uporaba"
"become","postati"
"tell","povej"
"keep","obdrži"
"help","pomoč"
"work","delo"
"let","pustiti"
"feel","čutiti"
"provide","zagotoviti"
"believe","verjeti"
"try","poskusite"
"shall","mora"
"ask","vprašajte"
"remember","ne pozabite"
"leave","dopusti"
"show","oddaja"
"pay","plačati"
"run","teči"
"read","preberite"
"seem","zdi se"
"include","vključujejo"
"bring","prinesi"
"understand","razumeti"
"start","začetek"
"play","igra"
"cut","rez"
"live","v živo"
"meet","srečati"
"move","premakniti"
"hear","sliši"
"call","pokličite"
"stop","ustavi se"
"turn","obrat"
"talk","pogovor"
"buy","kupi"
"thank","hvala"
"change","spremembe"
"continue","nadaljujte"
"consider","razmislite"
"allow","dovolite"
"hope","upanje"
"produce","proizvajajo"
"stay","ostani"
"appear","se pojavijo"
"write","piši"
"hold","počakajte"
"expect","pričakovati"
"ensure","zagotoviti"
"suppose","domnevam"
"wish","želja"
"carry","nositi"
"follow","sledite"
"offer","ponudbo"
"support","podporo"
"accept","sprejeti"
"speak","govoriti"
"lead","svinec"
"remain","ostanejo"
"stand","stojalo"
"suggest","predlagam"
"hit","zadeti"
"develop","razvijati"
"happen","zgodilo"
"sit","sedi"
"win","zmaga"
"love","ljubezen"
"add","dodaj"
"learn","nauči se"
"create","ustvariti"
"let","pustiti"
"agree","strinjam se"
"apply","prijaviti"
"wait","počakaj"
"avoid","izogibajte se"
"send","pošlji"
"form","oblika"
"explain","razloži"
"return","vrnitev"
"sell","prodati"
"receive","prejeti"
"open","odprto"
"begin","začeti"
"eat","jejte"
"increase","porast"
"voice","glas"
"spend","porabiti"
"join","pridruži se"
"reduce","zmanjšati"
"save","shrani"
"require","zahtevajo"
"fall","padec"
"mind","um"
"build","graditi"
"achieve","doseči"
"choose","izberite"
"prevent","preprečiti"
"reach","doseči"
"decide","odločite se"
"deal","dogovoriti"
"face","obraz"
"enjoy","uživajte"
"watch","pazi"
"lose","izgubiti"
"walk","hodi"
"cover","pokrov"
"improve","izboljšati"
"tend","nagibati se"
"raise","dvigniti"
"draw","žrebanje"
"forget","pozabi"
"imagine","predstavljajte si"
"act","deluje"
"pick","izberite"
"cause","vzrok"
"cost","stroškov"
"pass","podajo"
"break","odmor"
"prove","dokazati"
"occur","pojavijo"
"discuss","razpravljati"
"listen","poslušaj"
"maintain","vzdrževati"
"end","konec"
"exist","obstajajo"
"seek","iskati"
"grow","rastejo"
"check","preverite"
"serve","služijo"
"share","deliti"
"establish","vzpostaviti"
"enter","vnesite"
"control","nadzor"
"die","umreti"
"encourage","spodbujati"
"answer","odgovor"
"protect","zaščititi"
"identify","prepoznati"
"visit","obisk"
"care","nego"
"enable","omogoči"
"affect","vplivajo"
"claim","terjatev"
"note","Opomba"
"obtain","pridobiti"
"represent","predstavljajo"
"contain","vsebujejo"
"beat","premagati"
"spread","širjenje"
"worry","skrbi"
"bear","medved"
"shut","zaprti"
"wonder","čudim se"
"afford","privoščite si"
"fit","fit"
"kill","ubiti"
"regard","upoštevati"
"describe","opiši"
"place","kraj"
"drive","pogon"
"wear","obraba"
"argue","trditi"
"involve","vključujejo"
"lie","lagati"
"contact","stik"
"catch","ulov"
"assume","predpostavimo"
"indicate","navedite"
"operate","delujejo"
"manage","upravljati"
"cope","spoprijeti"
"remove","Odstrani"
"determine","določiti"
"fight","boj"
"pull","potegnite"
"realise","zavedati se"
"reflect","odražajo"
"fill","napolnite"
"refer","napoti"
"gain","dobiček"
"examine","preučiti"
"prefer","raje"
"travel","potovanja"
"admit","priznati"
"recognise","prepoznati"
"attend","udeležiti se"
"hurt","poškodovan"
"respond","odgovorite"
"sleep","spanje"
"introduce","uvesti"
"depend","odvisni"
"survive","preživeti"
"suffer","trpeti"
"notice","opaziti"
"close","blizu"
"result","rezultat"
"replace","zamenjati"
"complete","popolna"
"miss","zgrešiti"
"rise","vzpon"
"present","prisoten"
"arise","nastanejo"
"point","točka"
"fail","ne uspe"
"promote","promovirati"
"perform","izvesti"
"discover","odkrijte"
"express","izraziti"
"extend","podaljšati"
"drink","pijačo"
"mention","omeniti"
"vary","se razlikujejo"
"concentrate","osredotočiti"
"benefit","korist"
"treat","zdravljenje"
"hang","visi"
"throw","vrgel"
"prepare","pripravi"
"drop","padec"
"study","študij"
"push","potisnite"
"press","pritisnite"
"report","poročilo"
"cast","igralska zasedba"
"arrive","prispejo"
"sound","zvok"
"finish","konča"
"ring","prstan"
"test","preskus"
"secure","varno"
"collect","zbirati"
"escape","pobeg"
"teach","poučevati"
"last","zadnji"
"welcome","dobrodošli"
"rely","zanašati se"
"trust","zaupanje"
"match","tekmo"
"assess","ocenite"
"contribute","prispevati"
"repeat","ponovite"
"supply","ponudbe"
"wan","wan"
"plan","načrt"
"reveal","razkriti"
"state","država"
"confirm","potrdite"
"appreciate","cenim"
"hate","sovraštvo"
"relate","povezati"
"overcome","premagati"
"rid","znebiti"
"marry","poročiti"
"attempt","poskus"
"retain","obdrži"
"handle","ročaj"
"attract","privabiti"
"assist","pomagati"
"influence","vpliv"
"mark","oznaka"
"split","razcepljen"
"experience","izkušnje"
"recall","odpoklic"
"adopt","sprejeti"
"sign","znak"
"touch","dotik"
"fear","strah"
"stick","palico"
"settle","poravnati"
"ignore","prezreti"
"compare","primerjaj"
"define","opredeliti"
"exercise","vadba"
"demonstrate","demonstrirati"
"account","račun"
"persuade","prepričati"
"investigate","preiskati"
"clear","jasno"
"guess","ugibati"
"record","zapis"
"vote","glasovati"
"explore","raziskovati"
"blame","krivda"
"arrange","urediti"
"cross","križ"
"deny","zanikati"
"realize","zavedati se"
"hide","skrij"
"focus","osredotočiti"
"deliver","dostavi"
"proceed","nadaljujte"
"succeed","uspeti"
"bother","moti"
"refuse","zavrniti"
"force","sila"
"demand","povpraševanje"
"recognize","prepoznati"
"count","štetje"
"doubt","dvom"
"reckon","računati"
"belong","pripadajo"
"emerge","pojavijo"
"sing","pojejo"
"intend","nameravam"
"justify","utemelji"
"in","v"
"advise","svetovati"
"defend","braniti"
"laugh","smeh"
"dare","upam si"
"acquire","pridobiti"
"recover","si opomore"
"generate","ustvari"
"distinguish","razlikovati"
"suspect","osumljenec"
"earn","zaslužiti"
"finance","financ"
"bet","stava"
"destroy","uničiti"
"rest","počitek"
"judge","sodnik"
"pursue","zasledovati"
"comment","komentar"
"satisfy","zadovoljiti"
"compete","tekmovati"
"resist","upreti se"
"suit","obleko"
"address","naslov"
"solve","rešiti"
"lift","dvig"
"alter","spreminjati"
"impose","vsiliti"
"display","zaslon"
"appeal","pritožba"
"release","sprostitev"
"sort","razvrsti"
"differ","razlikujejo"
"select","izberite"
"measure","ukrep"
"recommend","priporočam"
"order","naročilo"
"transfer","prenos"
"attack","napad"
"expand","razširiti"
"roll","zvitek"
"burst","izbruh"
"undertake","se lotiti"
