EN	SI
Greeting	Pozdravi
Hi!	Zdravo!
Good morning!	Dobro jutro
Good afternoon!	Dober dan
Good evening!	Dober večer
Welcome! (to greet someone)	Dobrodošli!
How are you? (friendly)	Kako ste kaj?
How are you? (polite)	Kako ste kaj?
I'm fine, thank you!	Dobro hvala!
Good	Dobro
Long time no see	Že dolgo se nisva videla
I missed you	Pogrešal sem te
What's new?	Kaj je novega?
Thank you (very much)!	Najlepša hvala
You're welcome! (for "thank you")	Ni za kaj
Come in! (or: enter!)	Vstopite
Farewell Expressions	Slovo
Good night!	Lahko noč!
Good bye!	Na svidenje!
I will be right back!	Takoj se vrnem
Holidays and Wishes	
Good luck!	Vso srečo!
Happy birthday!	Vse najboljše za rojstni dan
Happy new year!	Srečno novo leto
Merry Christmas!	Srečen božič
Congratulations!	Čestitam!
Bless you (when sneezing)	Na zdravje
How to Introduce Yourself	Kako se predstavimo
What's your name?	Kako vam je ime?
My name is (John Doe)	Moje ime je
Where are you from?	Od kod ste?
Where do you live?	Kje živite?
I live in (the U.S/ Slovenia)	Živim v (Ameriki/Sloveniji
Do you like it here?	Kako vam je všeč v …(sloveniji/Ameriki)
What do you do for a living?	Kakšen poklic opravljate?
I'm a (teacher/ student/ engineer)	Po poklicu sem (učitelj/študentz/inžiner)
Do you speak (English/ Slovene)?	Ali govorite (angleško/Slovensko)?
Just a little	Zelo slabo
I'm trying to learn Slovene	Poskušam se naučiti slovenskega jezika
It's a hard language	To je težek jezik
It's an easy language	To je lahek jezik
Oh! That's good!	Zelo dobro
Can I practice with you?	Lahko vadim z vami?
I will try my best to learn	Poskušal se bom naučiti po svojih najboljših močeh
How old are you?	Koliko ste stari?
I'm (twenty one, thirty two) years old	Star sem (enaindvajset, dvaintrideset) let
Mr.../ Mrs. .../ Miss...	G./Ga./Gospodična
This is my wife	To je moja soproga
This is my husband	To je moj mož
Romance and Love Phrases	Ljubezenske zadeve
Are you free tomorrow evening?	Ste jutri tvečer prosti?
I would like to invite you to dinner	Vas smem povabiti na večerjo?
You look beautiful! (to a woman)	Zelo lepi ste
You have a beautiful name	Imate zelo lepo ime
Can you tell me more about you?	Mi lahko poveste kaj več o sebi?
Are you married?	Ali ste poročeni ?
I'm single	Nisem poročen
I'm married	Poročen sem
Can I have your phone number?	Mi lahko zaupate svojo telefonsko številko?
Can I have your email?	MI lahko zaupate vaš elektronski poštni naslov?
Do you have any pictures of you?	Imate kako svojo sliko?
Do you have children?	Koiko otrok imate?
Would you like to go for a walk?	Ste za sprehod?
I like you	Všeč ste mi
I love you	Ljubim te
You're very kind!	Zelo ste prijazni
Would you marry me?	Bi se poročili z menoj?
I'm just kidding	Samo šalim se
My heart speaks the language of love	Moje srce govori jezik ljubezni
Solving a Misunderstanding	reševanje nesporazumov
Sorry! (or: I beg your pardon!)	Oprostite!
Can you repeat please?	Lahko ponovite?
Can you speak slowly?	Lahko govorite počasneje?
Can you write it down?	Mi lahko to napišete?
Did you understand what I said?	Ste razumeli kar sem povedal?
I don't understand!	Ne razumem!
I don't know!	Ne vem?
